Gene stable ID,Gene name,Human gene stable ID,Human gene name
ENSPMRG00000003865,,,
ENSPMRG00000003866,,ENSG00000204370,SDHD
ENSPMRG00000003867,,,
ENSPMRG00000003868,NKAIN4,ENSG00000101198,NKAIN4
ENSPMRG00000003869,CLDN8,ENSG00000156284,CLDN8
ENSPMRG00000003870,FAM98A,ENSG00000119812,FAM98A
ENSPMRG00000003871,KBTBD4,ENSG00000123444,KBTBD4
ENSPMRG00000003872,RABIF,ENSG00000183155,RABIF
ENSPMRG00000003873,FOXO1,ENSG00000150907,FOXO1
ENSPMRG00000003874,ARFGAP1,ENSG00000101199,ARFGAP1
ENSPMRG00000003875,PTPMT1,ENSG00000110536,PTPMT1
ENSPMRG00000003876,TIAM1,ENSG00000156299,TIAM1
ENSPMRG00000003877,,,
ENSPMRG00000003878,RNF6,ENSG00000127870,RNF6
ENSPMRG00000003879,,,
ENSPMRG00000003880,,ENSG00000153157,SYCP2L
ENSPMRG00000003881,CELF1,ENSG00000149187,CELF1
ENSPMRG00000003882,,,
ENSPMRG00000003883,FGGY,ENSG00000172456,FGGY
ENSPMRG00000003884,RPGR,ENSG00000156313,RPGR
ENSPMRG00000003885,FAM217B,ENSG00000196227,FAM217B
ENSPMRG00000003886,CDK8,ENSG00000132964,CDK8
ENSPMRG00000003887,PPP1R3D,ENSG00000132825,PPP1R3D
ENSPMRG00000003888,SNX6,ENSG00000129515,SNX6
ENSPMRG00000003889,CNNM2,ENSG00000148842,CNNM2
ENSPMRG00000003890,CDH26,ENSG00000124215,CDH26
ENSPMRG00000003891,,,
ENSPMRG00000003892,PSMC3,ENSG00000165916,PSMC3
ENSPMRG00000003893,,,
ENSPMRG00000003894,AS3MT,ENSG00000214435,AS3MT
ENSPMRG00000003895,,,
ENSPMRG00000003896,SOD1,ENSG00000142168,SOD1
ENSPMRG00000003897,WASF3,ENSG00000132970,WASF3
ENSPMRG00000003898,ZNF318,ENSG00000171467,ZNF318
ENSPMRG00000003899,,,
ENSPMRG00000003900,,,
ENSPMRG00000003901,,,
ENSPMRG00000003902,MYSM1,ENSG00000162601,MYSM1
ENSPMRG00000003903,SRPX,ENSG00000101955,SRPX
ENSPMRG00000003904,,,
ENSPMRG00000003905,,,
ENSPMRG00000003906,COG6,ENSG00000133103,COG6
ENSPMRG00000003907,,ENSG00000137996,RTCA
ENSPMRG00000003908,CDH4,ENSG00000179242,CDH4
ENSPMRG00000003909,GPR12,ENSG00000132975,GPR12
ENSPMRG00000003910,CYP17A1,ENSG00000148795,CYP17A1
ENSPMRG00000003911,,ENSG00000156304,SCAF4
ENSPMRG00000003912,,,
ENSPMRG00000003913,SHOX2,ENSG00000168779,SHOX2
ENSPMRG00000003914,,ENSG00000121270,ABCC11
ENSPMRG00000003914,,ENSG00000124574,ABCC10
ENSPMRG00000003915,USP12,ENSG00000152484,USP12
ENSPMRG00000003916,LHFPL6,ENSG00000183722,LHFPL6
ENSPMRG00000003917,SYTL5,ENSG00000147041,SYTL5
ENSPMRG00000003918,GNB4,ENSG00000114450,GNB4
ENSPMRG00000003919,,,
ENSPMRG00000003920,RSRC1,ENSG00000174891,RSRC1
ENSPMRG00000003921,NHLRC3,ENSG00000188811,NHLRC3
ENSPMRG00000003922,,,
ENSPMRG00000003923,,,
ENSPMRG00000003924,,ENSG00000153774,CFDP1
ENSPMRG00000003925,DYNLT3,ENSG00000165169,DYNLT3
ENSPMRG00000003926,SNORD102,ENSG00000207500,SNORD102
ENSPMRG00000003927,MLF1,ENSG00000178053,MLF1
ENSPMRG00000003928,NIFK,ENSG00000155438,NIFK
ENSPMRG00000003929,,ENSG00000199474,
ENSPMRG00000003929,,ENSG00000252459,
ENSPMRG00000003929,,ENSG00000207051,SNORA27
ENSPMRG00000003929,,ENSG00000201807,
ENSPMRG00000003929,,ENSG00000200235,
ENSPMRG00000003930,ESD,ENSG00000139684,ESD
ENSPMRG00000003931,NELFA,ENSG00000185049,NELFA
ENSPMRG00000003932,RASL11A,ENSG00000122035,RASL11A
ENSPMRG00000003933,GTF3A,ENSG00000122034,GTF3A
ENSPMRG00000003934,ACTL6A,ENSG00000136518,ACTL6A
ENSPMRG00000003935,SPATA24,ENSG00000170469,SPATA24
ENSPMRG00000003936,MTIF3,ENSG00000122033,MTIF3
ENSPMRG00000003937,WBP1L,ENSG00000166272,WBP1L
ENSPMRG00000003938,DNAJC18,ENSG00000170464,DNAJC18
ENSPMRG00000003939,TAF4,ENSG00000130699,TAF4
ENSPMRG00000003940,CYBB,ENSG00000165168,CYBB
ENSPMRG00000003941,LNX2,ENSG00000139517,LNX2
ENSPMRG00000003942,U1,ENSG00000252990,RNU1-54P
ENSPMRG00000003942,U1,ENSG00000200789,RNU1-65P
ENSPMRG00000003943,GFM1,ENSG00000168827,GFM1
ENSPMRG00000003944,SLC30A10,ENSG00000196660,SLC30A10
ENSPMRG00000003945,SFXN2,ENSG00000156398,SFXN2
ENSPMRG00000003946,ZC3H13,ENSG00000123200,ZC3H13
ENSPMRG00000003947,,,
ENSPMRG00000003948,,ENSG00000136628,EPRS1
ENSPMRG00000003949,NICOL1,ENSG00000243449,NICOL1
ENSPMRG00000003950,,,
ENSPMRG00000003951,ARL3,ENSG00000138175,ARL3
ENSPMRG00000003952,,,
ENSPMRG00000003953,NAT8L,ENSG00000185818,NAT8L
ENSPMRG00000003954,TRIM8,ENSG00000171206,TRIM8
ENSPMRG00000003955,,,
ENSPMRG00000003956,MXD4,ENSG00000123933,MXD4
ENSPMRG00000003957,,,
ENSPMRG00000003958,,ENSG00000156304,SCAF4
ENSPMRG00000003959,,ENSG00000136522,MRPL47
ENSPMRG00000003960,,,
ENSPMRG00000003961,,,
ENSPMRG00000003962,,,
ENSPMRG00000003963,,,
ENSPMRG00000003964,U5,,
ENSPMRG00000003965,,,
ENSPMRG00000003966,,ENSG00000221583,RNU6ATAC21P
ENSPMRG00000003966,,ENSG00000221676,RNU6ATAC
ENSPMRG00000003966,,ENSG00000276642,
ENSPMRG00000003966,,ENSG00000221216,RNU6ATAC27P
ENSPMRG00000003966,,ENSG00000221038,RNU6ATAC7P
ENSPMRG00000003966,,ENSG00000221059,RNU6ATAC6P
ENSPMRG00000003966,,ENSG00000221527,RNU6ATAC41P
ENSPMRG00000003967,,,
ENSPMRG00000003968,CFAP99,ENSG00000206113,CFAP99
ENSPMRG00000003969,CHRNA4,ENSG00000101204,CHRNA4
ENSPMRG00000003970,CPB2,ENSG00000080618,CPB2
ENSPMRG00000003971,CDX2,ENSG00000165556,CDX2
ENSPMRG00000003972,DLK2,ENSG00000171462,DLK2
ENSPMRG00000003973,GNA13,ENSG00000120063,GNA13
ENSPMRG00000003974,,,
ENSPMRG00000003975,,,
ENSPMRG00000003976,KCNQ2,ENSG00000075043,KCNQ2
ENSPMRG00000003977,,,
ENSPMRG00000003978,ZFAND4,ENSG00000172671,ZFAND4
ENSPMRG00000003979,,,
ENSPMRG00000003980,,ENSG00000104941,RSPH6A
ENSPMRG00000003981,SLC23A1,ENSG00000170482,SLC23A1
ENSPMRG00000003982,AMZ2,ENSG00000196704,AMZ2
ENSPMRG00000003983,,ENSG00000142149,HUNK
ENSPMRG00000003984,,ENSG00000136522,MRPL47
ENSPMRG00000003985,SUFU,ENSG00000107882,SUFU
ENSPMRG00000003986,,,
ENSPMRG00000003987,,ENSG00000172661,WASHC2C
ENSPMRG00000003987,,ENSG00000099290,WASHC2A
ENSPMRG00000003988,TACSTD2,ENSG00000184292,TACSTD2
ENSPMRG00000003989,,ENSG00000116260,QSOX1
ENSPMRG00000003990,MIS18A,ENSG00000159055,MIS18A
ENSPMRG00000003991,SLC16A6,ENSG00000108932,SLC16A6
ENSPMRG00000003992,LYPLAL1,ENSG00000143353,LYPLAL1
ENSPMRG00000003993,,,
ENSPMRG00000003994,SLC39A13,ENSG00000165915,SLC39A13
ENSPMRG00000003995,NDUFB5,ENSG00000136521,NDUFB5
ENSPMRG00000003996,EEF1A2,ENSG00000101210,EEF1A2
ENSPMRG00000003997,LRRC73,ENSG00000204052,LRRC73
ENSPMRG00000003998,ARSG,ENSG00000141337,ARSG
ENSPMRG00000003999,,ENSG00000264717,NPY4R2
ENSPMRG00000003999,,ENSG00000204174,NPY4R
ENSPMRG00000004000,LXN,ENSG00000079257,LXN
ENSPMRG00000004001,OMA1,ENSG00000162600,OMA1
ENSPMRG00000004002,,ENSG00000121454,LHX4
ENSPMRG00000004003,,,
ENSPMRG00000004004,YIPF3,ENSG00000137207,YIPF3
ENSPMRG00000004005,,ENSG00000274209,ANTXRL
ENSPMRG00000004006,WIPI1,ENSG00000070540,WIPI1
ENSPMRG00000004007,RARRES1,ENSG00000118849,RARRES1
ENSPMRG00000004008,ACBD6,ENSG00000230124,ACBD6
ENSPMRG00000004009,,ENSG00000125534,PPDPF
ENSPMRG00000004010,USP13,ENSG00000058056,USP13
ENSPMRG00000004011,TGFB2,ENSG00000092969,TGFB2
ENSPMRG00000004012,SPI1,ENSG00000066336,SPI1
ENSPMRG00000004013,FLT3,ENSG00000122025,FLT3
ENSPMRG00000004014,,,
ENSPMRG00000004015,POLR1C,ENSG00000171453,POLR1C
ENSPMRG00000004016,PTK6,ENSG00000101213,PTK6
ENSPMRG00000004017,RRP15,ENSG00000067533,RRP15
ENSPMRG00000004018,PRKAR1A,ENSG00000108946,PRKAR1A
ENSPMRG00000004019,ACTR1A,ENSG00000138107,ACTR1A
ENSPMRG00000004020,U5,,
ENSPMRG00000004021,,,
ENSPMRG00000004022,,,
ENSPMRG00000004023,U5,,
ENSPMRG00000004024,XPR1,ENSG00000143324,XPR1
ENSPMRG00000004025,,ENSG00000047597,XK
ENSPMRG00000004026,SPATA17,ENSG00000162814,SPATA17
ENSPMRG00000004027,DAB1,ENSG00000173406,DAB1
ENSPMRG00000004028,RBP3,ENSG00000265203,RBP3
ENSPMRG00000004029,MFSD1,ENSG00000118855,MFSD1
ENSPMRG00000004030,Vault,,
ENSPMRG00000004031,SRMS,ENSG00000125508,SRMS
ENSPMRG00000004032,LANCL3,ENSG00000147036,LANCL3
ENSPMRG00000004033,XPO5,ENSG00000124571,XPO5
ENSPMRG00000004034,FAM20A,ENSG00000108950,FAM20A
ENSPMRG00000004035,,ENSG00000138111,MFSD13A
ENSPMRG00000004036,GDF2,ENSG00000263761,GDF2
ENSPMRG00000004037,PRRG1,ENSG00000130962,PRRG1
ENSPMRG00000004038,GPATCH2,ENSG00000092978,GPATCH2
ENSPMRG00000004039,,ENSG00000154263,ABCA10
ENSPMRG00000004040,PTPN20,ENSG00000204179,PTPN20
ENSPMRG00000004041,PEX5L,ENSG00000114757,PEX5L
ENSPMRG00000004042,,,
ENSPMRG00000004043,,,
ENSPMRG00000004044,KIAA1614,ENSG00000135835,KIAA1614
ENSPMRG00000004045,,,
ENSPMRG00000004046,,,
ENSPMRG00000004047,,,
ENSPMRG00000004048,,,
ENSPMRG00000004049,POLH,ENSG00000170734,POLH
ENSPMRG00000004050,SLF2,ENSG00000119906,SLF2
ENSPMRG00000004051,DDX1,ENSG00000079785,DDX1
ENSPMRG00000004052,TMEM47,ENSG00000147027,TMEM47
ENSPMRG00000004053,STX6,ENSG00000135823,STX6
ENSPMRG00000004054,IQCJ,ENSG00000214216,IQCJ
ENSPMRG00000004055,LSM14B,ENSG00000149657,LSM14B
ENSPMRG00000004056,,,
ENSPMRG00000004057,PAN3,ENSG00000152520,PAN3
ENSPMRG00000004058,IRAK1BP1,ENSG00000146243,IRAK1BP1
ENSPMRG00000004059,U6,,
ENSPMRG00000004060,ESRRG,ENSG00000196482,ESRRG
ENSPMRG00000004061,MAPK8,ENSG00000107643,MAPK8
ENSPMRG00000004062,,ENSG00000198947,DMD
ENSPMRG00000004063,C8B,ENSG00000021852,C8B
ENSPMRG00000004064,,,
ENSPMRG00000004065,PHIP,ENSG00000146247,PHIP
ENSPMRG00000004066,IER5,ENSG00000162783,IER5
ENSPMRG00000004067,SCHIP1,ENSG00000151967,SCHIP1
ENSPMRG00000004068,GTPBP2,ENSG00000172432,GTPBP2
ENSPMRG00000004069,PSMA7,ENSG00000101182,PSMA7
ENSPMRG00000004070,MYCN,ENSG00000134323,MYCN
ENSPMRG00000004071,TGS1,ENSG00000137574,TGS1
ENSPMRG00000004072,,,
ENSPMRG00000004073,ARHGAP22,ENSG00000128805,ARHGAP22
ENSPMRG00000004074,C8A,ENSG00000157131,C8A
ENSPMRG00000004075,,ENSG00000057252,SOAT1
ENSPMRG00000004076,,,
ENSPMRG00000004077,CYRIA,ENSG00000197872,CYRIA
ENSPMRG00000004078,SS18L1,ENSG00000184402,SS18L1
ENSPMRG00000004079,,,
ENSPMRG00000004080,,,
ENSPMRG00000004081,HMGN3,ENSG00000118418,HMGN3
ENSPMRG00000004082,,,
ENSPMRG00000004083,,ENSG00000198947,DMD
ENSPMRG00000004084,,ENSG00000167904,TMEM68
ENSPMRG00000004085,U5,,
ENSPMRG00000004086,LCA5,ENSG00000135338,LCA5
ENSPMRG00000004087,PCMTD2,ENSG00000203880,PCMTD2
ENSPMRG00000004088,,ENSG00000167904,TMEM68
ENSPMRG00000004089,MTG2,ENSG00000101181,MTG2
ENSPMRG00000004090,,,
ENSPMRG00000004091,,,
ENSPMRG00000004092,,ENSG00000154265,ABCA5
ENSPMRG00000004093,FYB2,ENSG00000187889,FYB2
ENSPMRG00000004094,SH3BGRL2,ENSG00000198478,SH3BGRL2
ENSPMRG00000004095,,,
ENSPMRG00000004096,,ENSG00000167904,TMEM68
ENSPMRG00000004097,,,
ENSPMRG00000004098,,,
ENSPMRG00000004099,ELOVL4,ENSG00000118402,ELOVL4
ENSPMRG00000004100,,,
ENSPMRG00000004101,,,
ENSPMRG00000004102,PRKAA2,ENSG00000162409,PRKAA2
ENSPMRG00000004103,HRH3,ENSG00000101180,HRH3
ENSPMRG00000004104,,,
ENSPMRG00000004105,,,
ENSPMRG00000004106,MYT1,ENSG00000196132,MYT1
ENSPMRG00000004107,,,
ENSPMRG00000004108,ENPP3,ENSG00000154269,ENPP3
ENSPMRG00000004109,,ENSG00000293268,
ENSPMRG00000004110,,,
ENSPMRG00000004111,TTK,ENSG00000112742,TTK
ENSPMRG00000004112,WDFY4,ENSG00000128815,WDFY4
ENSPMRG00000004113,PDE11A,ENSG00000128655,PDE11A
ENSPMRG00000004114,PLPP3,ENSG00000162407,PLPP3
ENSPMRG00000004115,TAB3,ENSG00000157625,TAB3
ENSPMRG00000004116,Metazoa_SRP,,
ENSPMRG00000004117,USH2A,ENSG00000042781,USH2A
ENSPMRG00000004118,C3orf80,ENSG00000180044,C3orf80
ENSPMRG00000004119,FLT1,ENSG00000102755,FLT1
ENSPMRG00000004120,,,
ENSPMRG00000004121,,,
ENSPMRG00000004122,,ENSG00000167904,TMEM68
ENSPMRG00000004123,,,
ENSPMRG00000004124,,ENSG00000197594,ENPP1
ENSPMRG00000004125,,ENSG00000196659,IFT70B
ENSPMRG00000004125,,ENSG00000197557,IFT70A
ENSPMRG00000004126,IFT80,ENSG00000068885,IFT80
ENSPMRG00000004127,,,
ENSPMRG00000004128,SEMA4G,ENSG00000095539,SEMA4G
ENSPMRG00000004129,AGPS,ENSG00000018510,AGPS
ENSPMRG00000004130,CILK1,ENSG00000112144,CILK1
ENSPMRG00000004131,,ENSG00000197594,ENPP1
ENSPMRG00000004132,,,
ENSPMRG00000004133,URB1,ENSG00000142207,URB1
ENSPMRG00000004134,,,
ENSPMRG00000004135,,,
ENSPMRG00000004136,,ENSG00000196475,GK2
ENSPMRG00000004136,,ENSG00000198814,GK
ENSPMRG00000004136,,ENSG00000229894,GK3
ENSPMRG00000004137,SMC4,ENSG00000113810,SMC4
ENSPMRG00000004138,USP24,ENSG00000162402,USP24
ENSPMRG00000004139,,,
ENSPMRG00000004140,,,
ENSPMRG00000004141,CCN2,ENSG00000118523,CCN2
ENSPMRG00000004142,,,
ENSPMRG00000004143,,,
ENSPMRG00000004144,,,
ENSPMRG00000004145,,ENSG00000179832,MROH1
ENSPMRG00000004146,,,
ENSPMRG00000004147,NFE2L2,ENSG00000116044,NFE2L2
ENSPMRG00000004148,,,
ENSPMRG00000004149,,,
ENSPMRG00000004150,EAPP,ENSG00000129518,EAPP
ENSPMRG00000004151,MOXD1,ENSG00000079931,MOXD1
ENSPMRG00000004152,,,
ENSPMRG00000004153,HNRNPA3,ENSG00000170144,HNRNPA3
ENSPMRG00000004154,MAD2L1BP,ENSG00000124688,MAD2L1BP
ENSPMRG00000004155,,ENSG00000132963,POMP
ENSPMRG00000004156,CCDC39,ENSG00000284862,CCDC39
ENSPMRG00000004157,BCKDHB,ENSG00000083123,BCKDHB
ENSPMRG00000004158,TRIM59,ENSG00000213186,TRIM59
ENSPMRG00000004159,FBXO9,ENSG00000112146,FBXO9
ENSPMRG00000004160,,,
ENSPMRG00000004161,OSBPL2,ENSG00000130703,OSBPL2
ENSPMRG00000004162,U6,ENSG00000200257,RNU6-97P
ENSPMRG00000004162,U6,ENSG00000200554,RNU6-1020P
ENSPMRG00000004163,KPNA4,ENSG00000186432,KPNA4
ENSPMRG00000004164,SPTSSA,ENSG00000165389,SPTSSA
ENSPMRG00000004165,,,
ENSPMRG00000004166,STX7,ENSG00000079950,STX7
ENSPMRG00000004167,SLC46A3,ENSG00000139508,SLC46A3
ENSPMRG00000004168,,,
ENSPMRG00000004169,,,
ENSPMRG00000004170,,,
ENSPMRG00000004171,EGLN3,ENSG00000129521,EGLN3
ENSPMRG00000004172,U5,ENSG00000252410,RNU5B-3P
ENSPMRG00000004173,TASL,ENSG00000120280,TASL
ENSPMRG00000004174,MTX2,ENSG00000128654,MTX2
ENSPMRG00000004175,,ENSG00000237541,HLA-DQA2
ENSPMRG00000004175,,ENSG00000196735,HLA-DQA1
ENSPMRG00000004176,TENT5A,ENSG00000112773,TENT5A
ENSPMRG00000004177,,,
ENSPMRG00000004178,SCARNA7,ENSG00000238741,SCARNA7
ENSPMRG00000004179,U7,ENSG00000238562,RNU7-159P
ENSPMRG00000004180,NR0B1,ENSG00000169297,NR0B1
ENSPMRG00000004181,,,
ENSPMRG00000004182,ARL14,ENSG00000179674,ARL14
ENSPMRG00000004183,,ENSG00000167904,TMEM68
ENSPMRG00000004184,TAAR5,ENSG00000135569,TAAR5
ENSPMRG00000004185,IBTK,ENSG00000005700,IBTK
ENSPMRG00000004186,,,
ENSPMRG00000004187,NPBWR2,ENSG00000125522,NPBWR2
ENSPMRG00000004188,CHDH,ENSG00000016391,CHDH
ENSPMRG00000004189,FXR1,ENSG00000114416,FXR1
ENSPMRG00000004190,KCTD3,ENSG00000136636,KCTD3
ENSPMRG00000004191,B3GALNT1,ENSG00000169255,B3GALNT1
ENSPMRG00000004192,TAAR2,ENSG00000146378,TAAR2
ENSPMRG00000004193,IL1RAPL1,ENSG00000169306,IL1RAPL1
ENSPMRG00000004194,OPRL1,ENSG00000125510,OPRL1
ENSPMRG00000004195,MTUS2,ENSG00000132938,MTUS2
ENSPMRG00000004196,TAAR1,ENSG00000146399,TAAR1
ENSPMRG00000004197,,,
ENSPMRG00000004198,,,
ENSPMRG00000004199,PPM1L,ENSG00000163590,PPM1L
ENSPMRG00000004200,NPAS3,ENSG00000151322,NPAS3
ENSPMRG00000004201,,,
ENSPMRG00000004202,,,
ENSPMRG00000004203,ACTR8,ENSG00000113812,ACTR8
ENSPMRG00000004204,TPBG,ENSG00000146242,TPBG
ENSPMRG00000004205,,ENSG00000112299,VNN1
ENSPMRG00000004205,,ENSG00000112303,VNN2
ENSPMRG00000004206,5S_rRNA,,
ENSPMRG00000004207,,,
ENSPMRG00000004208,,,
ENSPMRG00000004209,,,
ENSPMRG00000004210,GCM1,ENSG00000137270,GCM1
ENSPMRG00000004211,UBE3D,ENSG00000118420,UBE3D
ENSPMRG00000004212,RGS19,ENSG00000171700,RGS19
ENSPMRG00000004213,LRRC18,ENSG00000165383,LRRC18
ENSPMRG00000004214,ADRM1,ENSG00000130706,ADRM1
ENSPMRG00000004215,,,
ENSPMRG00000004216,ARX,ENSG00000004848,ARX
ENSPMRG00000004217,DNAJC19,ENSG00000205981,DNAJC19
ENSPMRG00000004218,HOXD1,ENSG00000128645,HOXD1
ENSPMRG00000004219,ATIC,ENSG00000138363,ATIC
ENSPMRG00000004220,,,
ENSPMRG00000004221,VSTM4,ENSG00000165633,VSTM4
ENSPMRG00000004222,ELOVL5,ENSG00000012660,ELOVL5
ENSPMRG00000004223,SELENOK,ENSG00000113811,SELENOK
ENSPMRG00000004224,HOXD3,ENSG00000128652,HOXD3
ENSPMRG00000004225,,,
ENSPMRG00000004226,NMD3,ENSG00000169251,NMD3
ENSPMRG00000004227,HOXD4,ENSG00000170166,HOXD4
ENSPMRG00000004228,,,
ENSPMRG00000004229,SLC7A1,ENSG00000139514,SLC7A1
ENSPMRG00000004230,NBEA,ENSG00000172915,NBEA
ENSPMRG00000004231,U6,ENSG00000252619,RNU6-1149P
ENSPMRG00000004232,,ENSG00000083845,RPS5
ENSPMRG00000004233,HOXD8,ENSG00000175879,HOXD8
ENSPMRG00000004234,POLA1,ENSG00000101868,POLA1
ENSPMRG00000004235,DOP1A,ENSG00000083097,DOP1A
ENSPMRG00000004236,C10orf71,ENSG00000177354,C10orf71
ENSPMRG00000004237,TCEA2,ENSG00000171703,TCEA2
ENSPMRG00000004238,SLC18B1,ENSG00000146409,SLC18B1
ENSPMRG00000004239,,ENSG00000001084,GCLC
ENSPMRG00000004240,,,
ENSPMRG00000004241,HOXD10,ENSG00000128710,HOXD10
ENSPMRG00000004242,,,
ENSPMRG00000004243,,,
ENSPMRG00000004244,,,
ENSPMRG00000004245,,,
ENSPMRG00000004246,HOXD11,ENSG00000128713,HOXD11
ENSPMRG00000004247,CFAP36,ENSG00000163001,CFAP36
ENSPMRG00000004248,DRGX,ENSG00000165606,DRGX
ENSPMRG00000004249,HOXD12,ENSG00000170178,HOXD12
ENSPMRG00000004250,,,
ENSPMRG00000004251,KCNK2,ENSG00000082482,KCNK2
ENSPMRG00000004252,,,
ENSPMRG00000004253,HOXD13,ENSG00000128714,HOXD13
ENSPMRG00000004254,,,
ENSPMRG00000004255,EVX2,ENSG00000174279,EVX2
ENSPMRG00000004256,UBL3,ENSG00000122042,UBL3
ENSPMRG00000004257,,,
ENSPMRG00000004258,,,
ENSPMRG00000004259,,ENSG00000167904,TMEM68
ENSPMRG00000004260,,,
ENSPMRG00000004261,,ENSG00000224960,PPP4R3C
ENSPMRG00000004261,,ENSG00000275052,PPP4R3B
ENSPMRG00000004262,,,
ENSPMRG00000004263,,,
ENSPMRG00000004264,LNPK,ENSG00000144320,LNPK
ENSPMRG00000004265,RPS12,ENSG00000112306,RPS12
ENSPMRG00000004266,SPTSSB,ENSG00000196542,SPTSSB
ENSPMRG00000004267,,,
ENSPMRG00000004268,PRPF6,ENSG00000101161,PRPF6
ENSPMRG00000004269,,,
ENSPMRG00000004270,,ENSG00000058063,ATP11B
ENSPMRG00000004271,,,
ENSPMRG00000004272,OTOL1,ENSG00000182447,OTOL1
ENSPMRG00000004273,KLHL31,ENSG00000124743,KLHL31
ENSPMRG00000004274,KATNAL1,ENSG00000102781,KATNAL1
ENSPMRG00000004275,SNORD101,ENSG00000206754,SNORD101
ENSPMRG00000004276,TWNK,ENSG00000107815,TWNK
ENSPMRG00000004277,,,
ENSPMRG00000004278,LAMA5,ENSG00000130702,LAMA5
ENSPMRG00000004279,CENPF,ENSG00000117724,CENPF
ENSPMRG00000004280,SNORD100,ENSG00000221500,SNORD100
ENSPMRG00000004281,,ENSG00000202283,
ENSPMRG00000004281,,ENSG00000200534,SNORA33
ENSPMRG00000004281,,ENSG00000201827,
ENSPMRG00000004281,,ENSG00000252045,
ENSPMRG00000004282,,,
ENSPMRG00000004283,,,
ENSPMRG00000004284,,ENSG00000153774,CFDP1
ENSPMRG00000004285,,ENSG00000252461,
ENSPMRG00000004285,,ENSG00000274998,SNORA17A
ENSPMRG00000004285,,ENSG00000201733,
ENSPMRG00000004285,,ENSG00000280636,
ENSPMRG00000004285,,ENSG00000253049,
ENSPMRG00000004285,,ENSG00000281863,
ENSPMRG00000004285,,ENSG00000280496,SNORA17B
ENSPMRG00000004286,CACNA2D3,ENSG00000157445,CACNA2D3
ENSPMRG00000004287,,,
ENSPMRG00000004288,,,
ENSPMRG00000004289,PGM3,ENSG00000013375,PGM3
ENSPMRG00000004290,,ENSG00000212589,
ENSPMRG00000004290,,ENSG00000212461,
ENSPMRG00000004290,,ENSG00000281808,
ENSPMRG00000004291,AKAP6,ENSG00000151320,AKAP6
ENSPMRG00000004292,,,
ENSPMRG00000004293,,ENSG00000189403,HMGB1
ENSPMRG00000004293,,ENSG00000124097,HMGB1P1
ENSPMRG00000004294,LZTS2,ENSG00000107816,LZTS2
ENSPMRG00000004295,,,
ENSPMRG00000004296,,,
ENSPMRG00000004297,ERCC6,ENSG00000225830,ERCC6
ENSPMRG00000004298,SAMD10,ENSG00000130590,SAMD10
ENSPMRG00000004299,PTPN14,ENSG00000152104,PTPN14
ENSPMRG00000004300,,,
ENSPMRG00000004301,LRRC1,ENSG00000137269,LRRC1
ENSPMRG00000004302,RWDD2A,ENSG00000013392,RWDD2A
ENSPMRG00000004303,,,
ENSPMRG00000004304,,ENSG00000123570,RAB9B
ENSPMRG00000004305,PDZD7,ENSG00000186862,PDZD7
ENSPMRG00000004306,EYA4,ENSG00000112319,EYA4
ENSPMRG00000004307,PCYT1B,ENSG00000102230,PCYT1B
ENSPMRG00000004308,,,
ENSPMRG00000004309,,,
ENSPMRG00000004310,ME1,ENSG00000065833,ME1
ENSPMRG00000004311,,,
ENSPMRG00000004312,,ENSG00000167904,TMEM68
ENSPMRG00000004313,PCSK9,ENSG00000169174,PCSK9
ENSPMRG00000004314,ZNF512B,ENSG00000196700,ZNF512B
ENSPMRG00000004315,,,
ENSPMRG00000004316,,,
ENSPMRG00000004317,PDK3,ENSG00000067992,PDK3
ENSPMRG00000004318,,,
ENSPMRG00000004319,,ENSG00000100852,ARHGAP5
ENSPMRG00000004320,,,
ENSPMRG00000004321,ATF2,ENSG00000115966,ATF2
ENSPMRG00000004322,,,
ENSPMRG00000004323,,ENSG00000167904,TMEM68
ENSPMRG00000004324,BSND,ENSG00000162399,BSND
ENSPMRG00000004325,,,
ENSPMRG00000004326,,,
ENSPMRG00000004327,,ENSG00000100852,ARHGAP5
ENSPMRG00000004328,TMEM61,ENSG00000143001,TMEM61
ENSPMRG00000004329,,,
ENSPMRG00000004330,,ENSG00000167904,TMEM68
ENSPMRG00000004331,PRSS35,ENSG00000146250,PRSS35
ENSPMRG00000004332,UCKL1,ENSG00000198276,UCKL1
ENSPMRG00000004333,NUBPL,ENSG00000151413,NUBPL
ENSPMRG00000004334,LRTM1,ENSG00000144771,LRTM1
ENSPMRG00000004335,SMYD2,ENSG00000143499,SMYD2
ENSPMRG00000004336,DHCR24,ENSG00000116133,DHCR24
ENSPMRG00000004337,,ENSG00000005889,ZFX
ENSPMRG00000004337,,ENSG00000067646,ZFY
ENSPMRG00000004338,,,
ENSPMRG00000004339,,ENSG00000167904,TMEM68
ENSPMRG00000004340,MIDEAS,ENSG00000156030,MIDEAS
ENSPMRG00000004341,CHN1,ENSG00000128656,CHN1
ENSPMRG00000004342,TCF21,ENSG00000118526,TCF21
ENSPMRG00000004343,SNAP91,ENSG00000065609,SNAP91
ENSPMRG00000004344,CIMAP2,ENSG00000162398,CIMAP2
ENSPMRG00000004345,WNT5A,ENSG00000114251,WNT5A
ENSPMRG00000004346,XKR4,ENSG00000206579,XKR4
ENSPMRG00000004347,TBPL1,ENSG00000028839,TBPL1
ENSPMRG00000004348,RSPH9,ENSG00000172426,RSPH9
ENSPMRG00000004349,TTC22,ENSG00000006555,TTC22
